country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Indonesia,Kalimantan Selatan,75,3737249,2128450,2076741,262789,16405,21649,16688,36786,23357,48256,26848,15965,52709,22751,42083,54176,26027,46270,55633,51408,30570,29866,33960,16489,15518,12271,37267,18873,10150560,13220051,10177598,24008482,14114136,29382216,16550154,9753625,34795834,15389667,27836008,40958719,19453831,34716232,43252676,34587227,19974090,18897057,21480882,10906594,10973395,8010311,24735486,13086794
Indonesia,Kalimantan Tengah,0,15371159,15371159,15371159,619162,64894,104290,129721,172638,160211,224571,292704,205873,195238,142714,140128,221998,109638,207354,224479,508259,110685,117846,131471,97003,59515,80768,166993,137907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Tengah,10,15371159,14449735,14161914,619162,64402,103456,129373,171014,159186,223068,292206,205295,194793,142522,139686,219766,104544,199649,216437,496740,104615,112110,124180,91751,54385,74464,150081,122152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Tengah,15,15371159,14371264,14051483,619162,64316,103296,129304,170684,158998,222741,292074,205100,194671,142466,139585,219534,104186,198984,215737,495644,104102,111623,123578,91369,54006,73934,148504,121058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Tengah,20,15371159,14320828,14003780,619162,64208,103114,129228,170314,158834,222381,291926,204929,194562,142419,139496,219254,103804,198331,215027,494680,103665,111155,123032,91050,53704,73518,147307,120221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Tengah,25,15371159,14278849,13929247,619162,64153,102997,129177,170075,158674,222135,291823,204790,194475,142386,139424,219111,103613,197927,214562,494029,103378,110849,122687,90826,53493,73217,146380,119597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Tengah,30,15371159,14220881,13853651,619162,64076,102874,129122,169837,158552,221893,291717,204626,194376,142342,139335,218881,103285,197213,213840,492975,102894,110369,122143,90490,53159,72734,144866,118639,42220392,74151771,147052676,115601806,109855751,148088017,291244104,142000086,145533154,107073467,100394491,161281420,75334314,145179410,172198968,479684517,69126749,76187310,86475205,60914533,33362598,46339431,91559754,76649894
Indonesia,Kalimantan Tengah,50,15371159,13834325,13361493,619162,63402,101594,128443,167217,156863,218707,290127,202526,192709,141733,138180,216789,101033,191128,207503,483231,99409,106266,117578,88162,51271,69691,134097,112556,42134538,73945247,146876809,115179584,109548735,147592776,290936842,141632017,145208578,106938484,100114020,160657356,74670867,142798868,169167910,473721958,67697531,74304779,83835922,59788689,32709383,45180030,86352832,74056162
Indonesia,Kalimantan Tengah,75,15371159,12722550,12277646,619162,60004,94713,123150,153890,146941,203063,280261,191884,182309,137448,130775,205376,91114,164916,178557,438006,86645,89627,96430,78637,45112,60206,103958,94236,41093087,71354076,143938943,110862423,106025371,143367474,286996335,138741448,141874121,105618396,97597080,155270163,70731699,129538317,151865770,442759291,61898552,65170441,69316203,54738940,30554449,41602918,71768224,66051945
Indonesia,Kalimantan Timur,0,12585065,12585065,12585065,276765,46918,58138,37329,72265,67443,129641,123579,106310,212969,107812,183190,258990,155071,223932,196083,341241,144735,158998,141641,99488,78502,67187,150741,122883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Timur,10,12585065,11872406,11447341,276765,46293,57724,37103,71787,66998,128815,122547,105621,212119,107494,182474,256608,148951,214045,186450,320593,136548,150171,134011,93570,75069,62884,138553,113517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Timur,15,12585065,11820669,11377024,276765,46223,57653,37066,71711,66929,128666,122363,105488,211949,107427,182357,256340,148517,213313,185717,318747,135890,149429,133440,93034,74751,62473,137254,112576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Timur,20,12585065,11786309,11338295,276765,46118,57553,37027,71615,66833,128468,122137,105317,211770,107357,182242,256056,148121,212639,185037,317272,135325,148853,132955,92623,74507,62185,136353,111888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Timur,25,12585065,11760581,11293744,276765,46063,57492,37000,71555,66795,128369,122044,105239,211653,107312,182167,255890,147877,212210,184622,316048,134946,148420,132607,92304,74338,61952,135612,111331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Timur,30,12585065,11718039,11239771,276765,45977,57425,36975,71496,66742,128253,121912,105149,211515,107241,182064,255656,147487,211485,183872,313958,134297,147742,132059,91821,74061,61563,134307,110376,27360852,34117200,23331304,42881456,41221767,77996547,75445749,65828559,132568141,73268917,128207918,185383993,105915945,148028973,129229278,200410821,93894983,106195817,97175202,66906288,53317833,42445205,90358293,73938627
Indonesia,Kalimantan Timur,50,12585065,11466744,10910243,276765,45265,56717,36619,70745,66122,126821,120314,103894,209497,106348,180918,253618,145040,207102,179506,302148,130275,143781,128569,89100,72535,59555,127733,105598,27236186,33988815,23264086,42733650,41058065,77595946,74945516,65408221,132026324,73055077,127845432,184551501,104882603,146298367,127478448,195414613,92115155,104215295,95299181,65402609,52663552,41608292,87450175,71850687
Indonesia,Kalimantan Timur,75,12585065,10541785,10182707,276765,41736,52617,34345,66104,61733,117211,109849,95282,195202,100223,172875,238961,129106,180720,155165,247181,111110,125663,113029,76496,64478,51832,107335,89627,26330610,32804591,22628270,41342740,39487569,74050534,70824736,61930965,127214344,70928630,124665419,177452902,96896705,133694064,115874714,168536532,81995437,93916214,86008025,57678614,48232857,37801763,77587449,64473185
Indonesia,Kalimantan Utara,0,7012553,7012553,7012553,30823,27257,23722,16742,36648,24219,24338,31257,40101,51891,30095,41983,60862,32530,60766,49810,40481,35137,38012,30468,25495,20000,18284,28262,21225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Utara,10,7012553,6862161,6771003,30823,27101,23632,16666,36399,24005,24141,30866,39840,51742,29968,41788,60488,31931,59268,48077,38774,33986,37029,29518,24646,19385,17735,26737,20128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Utara,15,7012553,6850354,6749281,30823,27089,23622,16658,36376,23986,24133,30850,39826,51729,29962,41780,60465,31906,59199,48012,38692,33921,36962,29457,24588,19343,17703,26620,20073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Utara,20,7012553,6845511,6743392,30823,27076,23614,16654,36358,23968,24124,30829,39807,51715,29954,41767,60426,31878,59135,47937,38612,33865,36906,29411,24543,19309,17678,26554,20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Utara,25,7012553,6842447,6733543,30823,27070,23609,16651,36350,23964,24122,30824,39805,51711,29951,41763,60416,31865,59101,47903,38568,33830,36872,29382,24517,19291,17665,26512,19998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Kalimantan Utara,30,7012553,6837686,6724104,30823,27060,23604,16648,36334,23948,24116,30813,39795,51702,29944,41756,60396,31842,59037,47844,38488,33775,36813,29326,24481,19260,17636,26441,19954,19341740,16603990,11813601,26651952,17285858,17979152,23003238,32121894,41983041,24417359,37909107,56397829,30264091,54653575,47042639,28230272,25163499,27279257,21270456,17310809,14290997,13016817,19352139,14535488
Indonesia,Kalimantan Utara,50,7012553,6808371,6661726,30823,26858,23497,16583,36195,23851,24028,30654,39675,51600,29888,41674,60223,31655,58580,47374,37890,33316,36369,28961,24176,19034,17450,26000,19672,19247804,16564379,11792726,26617548,17260412,17953801,22954786,32083534,41945634,24397899,37875441,56329751,30192536,54480254,46850508,27970434,24976850,27091076,21118626,17187978,14219660,12953769,19208419,14441387
Indonesia,Kalimantan Utara,75,7012553,6712816,6530439,30823,25792,22778,16127,35287,23199,23500,29826,38898,50899,29449,41213,59377,30905,56885,45748,35873,31711,34792,27633,23069,18221,16848,24667,18708,18735699,16253656,11598394,26282755,17033865,17777180,22644752,31762410,41644599,24214792,37675830,55890043,29837445,53694678,46056208,27032327,24245820,26363826,20503827,16683458,13888913,12694487,18667483,14065996
Indonesia,Kepulauan Riau,0,827637,827637,827637,20169,1731,5579,1788,4566,8150,5456,2707,8731,5251,4821,6981,9488,4967,20334,6440,13870,8750,7809,10302,9827,4913,3148,4253,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
